from,to,t,l,k,flow
m3_in,m3_q_l1,2,l1,k1,25.715206
m3_q_l1,ss,2,l1,k1,25.715206
m10_q_l1,ss,5,l1,k1,25.618903
m10_in,m10_q_l1,1,l1,k2,25.325176
m10_q_l1,ss,1,l1,k2,25.325176
m1_in,m1_q_l1,11,l1,k4,24.589855
m2_q_l1,ss,12,l1,k4,24.504473
m1_in,m1_q_l1,6,l1,k2,24.096848
m1_q_l1,ss,6,l1,k2,24.096848
m1_in,m1_q_l1,7,l1,k2,23.751667
source,m4_in,12,l1,k5,23.735327
m1_in,m1_q_l1,10,l1,k1,23.725939
m1_q_l1,ss,11,l1,k1,23.725939
m1_in,m1_q_l1,7,l1,k5,23.663097
source,m6_in,4,l1,k3,23.641724
m6_in,m3_in,4,l1,k3,23.641724
source,m3_in,10,l1,k4,23.621276
m3_in,m4_in,10,l1,k4,23.621276
m1_q_l1,ss,10,l1,k3,23.506132
source,m7_in,10,l2,k2,23.505851
m7_in,m7_q_l2,10,l2,k2,23.505851
m7_q_l2,ss,10,l2,k2,23.505851
m3_q_l1,ss,5,l1,k2,23.496159
m2_in,m2_q_l1,9,l1,k1,23.441992
source,m6_in,3,l1,k3,23.344482
m6_in,m1_in,3,l1,k3,23.344482
source,m5_in,8,l1,k5,23.339909
source,m4_in,10,l1,k1,23.328578
m4_in,m2_in,10,l1,k1,23.328578
source,m10_in,12,l1,k4,23.27595
source,m9_in,4,l2,k1,23.18241
m9_in,m9_q_l2,4,l2,k1,23.18241
m9_q_l2,ss,4,l2,k1,23.18241
source,m7_in,3,l2,k5,23.179572
m7_in,m7_q_l2,3,l2,k5,23.179572
m7_q_l2,ss,3,l2,k5,23.179572
source,m1_in,12,l2,k3,23.145119
source,m8_in,5,l1,k1,22.906616
m8_in,m1_in,5,l1,k1,22.906616
m1_in,m1_q_l1,2,l1,k5,22.821296
source,m2_in,2,l2,k1,22.817787
source,m10_in,8,l1,k1,22.779306
source,m2_in,11,l1,k4,22.681908
m2_in,m2_q_l1,11,l1,k4,22.681908
source,m1_in,10,l2,k3,22.64528
source,m4_in,10,l1,k5,22.607158
m4_in,m5_in,10,l1,k5,22.607158
source,m1_in,10,l2,k4,22.569343
m1_in,m1_q_l2,10,l2,k4,22.569343
m1_q_l2,ss,10,l2,k4,22.569343
source,m10_in,11,l1,k5,22.56833
m10_in,m10_q_l1,11,l1,k5,22.56833
source,m7_in,2,l2,k2,22.546805
m7_in,m7_q_l2,2,l2,k2,22.546805
m7_q_l2,ss,2,l2,k2,22.546805
source,m7_in,5,l2,k2,22.371997
m7_in,m7_q_l2,5,l2,k2,22.371997
m7_q_l2,ss,5,l2,k2,22.371997
source,m10_in,2,l1,k5,22.326497
m10_in,m10_q_l1,2,l1,k5,22.326497
m10_q_l1,ss,2,l1,k5,22.326497
source,m1_in,12,l1,k3,22.286504
source,m6_in,4,l1,k2,22.15618
m6_in,m2_in,4,l1,k2,22.15618
source,m10_in,6,l2,k2,22.130365
m10_in,m10_q_l2,6,l2,k2,22.130365
m10_q_l2,ss,6,l2,k2,22.130365
source,m2_in,12,l2,k3,22.107959
source,m4_in,6,l1,k5,22.052243
source,m2_in,5,l2,k4,22.04802
m2_in,m2_q_l2,5,l2,k4,22.04802
m2_q_l2,ss,5,l2,k4,22.04802
source,m2_in,9,l2,k1,21.931917
m2_in,m2_q_l2,9,l2,k1,21.931917
m2_q_l2,ss,9,l2,k1,21.931917
source,m8_in,8,l2,k2,21.921256
m8_in,m8_q_l2,8,l2,k2,21.921256
m8_q_l2,ss,8,l2,k2,21.921256
source,m4_in,8,l1,k1,21.921044
m4_in,m1_in,8,l1,k1,21.921044
source,m7_in,2,l1,k2,21.901411
m7_in,m2_in,2,l1,k2,21.901411
source,m1_in,2,l2,k1,21.889405
m1_in,m2_in,2,l2,k1,21.889405
source,m2_in,12,l1,k1,21.876836
source,m3_in,9,l2,k3,21.850175
m3_in,m2_in,9,l2,k3,21.850175
source,m1_in,2,l2,k2,21.831352
source,m5_in,3,l2,k5,21.829436
m5_in,m1_in,3,l2,k5,21.829436
source,m4_in,6,l2,k4,21.804096
m4_in,m1_in,6,l2,k4,21.804096
source,m9_in,11,l1,k3,21.792461
m9_in,m3_in,11,l1,k3,21.792461
source,m9_in,7,l2,k4,21.781521
m9_in,m9_q_l2,7,l2,k4,21.781521
m9_q_l2,ss,7,l2,k4,21.781521
source,m9_in,11,l1,k5,21.704498
m9_in,m5_in,11,l1,k5,21.704498
source,m2_in,10,l1,k3,21.693256
m2_in,m2_q_l1,10,l1,k3,21.693256
source,m2_in,2,l2,k5,21.692805
m2_in,m2_q_l2,2,l2,k5,21.692805
m2_q_l2,ss,2,l2,k5,21.692805
source,m8_in,3,l1,k5,21.651803
m8_in,m1_in,3,l1,k5,21.651803
source,m3_in,8,l2,k1,21.64885
m3_in,m3_q_l2,8,l2,k1,21.64885
m3_q_l2,ss,8,l2,k1,21.64885
source,m8_in,5,l2,k4,21.644455
m8_in,m8_q_l2,5,l2,k4,21.644455
m8_q_l2,ss,5,l2,k4,21.644455
source,m4_in,7,l2,k5,21.640589
m4_in,m4_q_l2,7,l2,k5,21.640589
m4_q_l2,ss,7,l2,k5,21.640589
source,m7_in,8,l2,k5,21.639515
m7_in,m7_q_l2,8,l2,k5,21.639515
m7_q_l2,ss,8,l2,k5,21.639515
source,m5_in,2,l2,k5,21.632392
m5_in,m8_in,2,l2,k5,21.632392
source,m1_in,7,l2,k5,21.627342
m1_in,m1_q_l2,7,l2,k5,21.627342
m1_q_l2,ss,7,l2,k5,21.627342
source,m7_in,10,l1,k5,21.552969
m7_in,m5_in,10,l1,k5,21.552969
source,m5_in,11,l1,k5,21.483238
source,m3_in,12,l2,k5,21.476307
source,m1_in,6,l2,k5,21.452271
m1_in,m1_q_l2,6,l2,k5,21.452271
m1_q_l2,ss,6,l2,k5,21.452271
source,m10_in,11,l2,k3,21.367596
m10_in,m10_q_l2,11,l2,k3,21.367596
m10_q_l2,ss,11,l2,k3,21.367596
source,m3_in,7,l2,k3,21.345233
m3_in,m4_in,7,l2,k3,21.345233
source,m10_in,2,l2,k1,21.319481
m10_in,m10_q_l2,2,l2,k1,21.319481
m10_q_l2,ss,2,l2,k1,21.319481
source,m7_in,8,l1,k1,21.289059
m7_in,m1_in,8,l1,k1,21.289059
m10_in,m10_q_l1,10,l1,k1,21.288094
source,m3_in,11,l1,k2,21.281759
source,m1_in,1,l2,k1,21.259177
m1_in,m6_in,1,l2,k1,21.259177
source,m5_in,1,l2,k1,21.24953
m5_in,m5_q_l2,1,l2,k1,21.24953
m5_q_l2,ss,1,l2,k1,21.24953
source,m7_in,9,l2,k3,21.235321
m7_in,m7_q_l2,9,l2,k3,21.235321
m7_q_l2,ss,9,l2,k3,21.235321
source,m1_in,10,l1,k3,21.207815
source,m10_in,12,l1,k2,21.182717
source,m7_in,6,l1,k1,21.17946
m7_in,m10_in,6,l1,k1,21.17946
source,m9_in,2,l2,k4,21.172671
m9_in,m9_q_l2,2,l2,k4,21.172671
m9_q_l2,ss,2,l2,k4,21.172671
source,m1_in,12,l2,k2,21.085784
source,m5_in,3,l2,k4,21.04559
m5_in,m5_q_l2,3,l2,k4,21.04559
m5_q_l2,ss,3,l2,k4,21.04559
source,m5_in,1,l1,k5,21.02686
source,m8_in,3,l2,k2,21.021481
m8_in,m8_q_l2,3,l2,k2,21.021481
m8_q_l2,ss,3,l2,k2,21.021481
source,m7_in,8,l1,k5,21.019824
m7_in,m5_in,8,l1,k5,21.019824
source,m3_in,1,l1,k4,21.010246
m3_in,m3_q_l1,1,l1,k4,21.010246
source,m10_in,2,l2,k2,21.0078
m10_in,m10_q_l2,2,l2,k2,21.0078
m10_q_l2,ss,2,l2,k2,21.0078
source,m10_in,7,l2,k5,20.99675
m10_in,m10_q_l2,7,l2,k5,20.99675
m10_q_l2,ss,7,l2,k5,20.99675
source,m8_in,6,l1,k4,20.996079
m8_in,m4_in,6,l1,k4,20.996079
source,m3_in,3,l2,k1,20.954894
m3_in,m3_q_l2,3,l2,k1,20.954894
m3_q_l2,ss,3,l2,k1,20.954894
source,m2_in,8,l2,k4,20.948918
m2_in,m2_q_l2,8,l2,k4,20.948918
m2_q_l2,ss,8,l2,k4,20.948918
source,m5_in,5,l2,k4,20.92713
m5_in,m5_q_l2,5,l2,k4,20.92713
m5_q_l2,ss,5,l2,k4,20.92713
source,m4_in,1,l2,k2,20.919768
m4_in,m4_q_l2,1,l2,k2,20.919768
m4_q_l2,ss,1,l2,k2,20.919768
source,m6_in,1,l1,k3,20.901712
m6_in,m3_in,1,l1,k3,20.901712
source,m9_in,2,l2,k2,20.894021
m9_in,m9_q_l2,2,l2,k2,20.894021
m9_q_l2,ss,2,l2,k2,20.894021
source,m4_in,2,l1,k4,20.88551
source,m7_in,12,l1,k3,20.869731
source,m9_in,7,l1,k3,20.857941
source,m5_in,3,l2,k3,20.828715
source,m10_in,7,l2,k1,20.823251
m10_in,m10_q_l2,7,l2,k1,20.823251
m10_q_l2,ss,7,l2,k1,20.823251
source,m2_in,12,l1,k4,20.822842
source,m3_in,6,l2,k5,20.821049
source,m4_in,11,l1,k3,20.815791
m4_in,m3_in,11,l1,k3,20.815791
source,m3_in,6,l2,k2,20.815326
m3_in,m3_q_l2,6,l2,k2,20.815326
m3_q_l2,ss,6,l2,k2,20.815326
source,m4_in,2,l2,k2,20.79463
m4_in,m4_q_l2,2,l2,k2,20.79463
m4_q_l2,ss,2,l2,k2,20.79463
source,m2_in,2,l1,k5,20.771796
m2_in,m2_q_l1,2,l1,k5,20.771796
source,m1_in,8,l2,k3,20.770814
m1_in,m1_q_l2,8,l2,k3,20.770814
m1_q_l2,ss,8,l2,k3,20.770814
source,m5_in,5,l1,k4,20.764865
m5_in,m4_in,5,l1,k4,20.764865
source,m3_in,4,l2,k1,20.761071
m3_in,m3_q_l2,4,l2,k1,20.761071
m3_q_l2,ss,4,l2,k1,20.761071
source,m3_in,3,l2,k3,20.758879
m3_in,m5_in,3,l2,k3,20.758879
source,m7_in,1,l1,k5,20.74997
m7_in,m3_in,1,l1,k5,20.74997
source,m5_in,7,l2,k5,20.739675
m5_in,m2_in,7,l2,k5,20.739675
source,m9_in,1,l2,k1,20.738939
m9_in,m9_q_l2,1,l2,k1,20.738939
m9_q_l2,ss,1,l2,k1,20.738939
m1_in,m1_q_l1,2,l1,k3,20.738932
source,m4_in,7,l2,k4,20.722335
m4_in,m3_in,7,l2,k4,20.722335
source,m9_in,10,l1,k4,20.705003
m9_in,m4_in,10,l1,k4,20.705003
source,m1_in,1,l1,k5,20.701019
m1_in,m1_q_l1,1,l1,k5,20.701019
source,m8_in,9,l2,k3,20.690739
m8_in,m8_q_l2,9,l2,k3,20.690739
m8_q_l2,ss,9,l2,k3,20.690739
source,m10_in,1,l2,k2,20.685123
m10_in,m10_q_l2,1,l2,k2,20.685123
m10_q_l2,ss,1,l2,k2,20.685123
source,m4_in,5,l2,k2,20.652954
m4_in,m4_q_l2,5,l2,k2,20.652954
m4_q_l2,ss,5,l2,k2,20.652954
source,m1_in,4,l1,k5,20.649594
m1_in,m1_q_l1,4,l1,k5,20.649594
source,m2_in,12,l2,k1,20.642145
source,m8_in,11,l2,k2,20.635108
m8_in,m8_q_l2,11,l2,k2,20.635108
m8_q_l2,ss,11,l2,k2,20.635108
