scenario,status,feasible,MAX_CSAM_FACILITIES,demand_mean,demand_variance,F_cost,SEED,objective,subproblem_cost,deployment_cost,deployed_count,deployed_facilities,budget_slack,total_demand,unmet_demand,unmet_demand_pct,unmet_in,unmet_queue,iterations,runtime_seconds,run_id,experiment_dir,scenario_name,max_csam_facilities,seed,demand_scale,flow_files,report_files
csam4_dm12.0_dv4.0_F100_s456,feasible,True,4,12.0,4.0,100,456,81627.16649739999,81427.16649739999,200.0,2.0,"m1,m10",2.0,14402.929509901125,0.0,0.0,0.0,0.0,20,160.63804388046265,2026-06-19_020540_sweep_csam4_dm12.0_dv4.0_F100_s456,experiments\2026-06-19_020540_sweep_csam4_dm12.0_dv4.0_F100_s456,csam4_dm12.0_dv4.0_F100_s456,4,456,1.0,"{'regular': 'experiments\\2026-06-19_020540_sweep_csam4_dm12.0_dv4.0_F100_s456\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_020540_sweep_csam4_dm12.0_dv4.0_F100_s456\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_020540_sweep_csam4_dm12.0_dv4.0_F100_s456\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_020540_sweep_csam4_dm12.0_dv4.0_F100_s456\\reports\\run_report.pdf'}"
csam4_dm12.0_dv9.0_F100_s123,feasible,True,4,12.0,9.0,100,123,79296.41559145013,79096.41559145013,200.0,2.0,"m1,m2",2.0,14290.15897225643,0.0,0.0,0.0,0.0,20,161.82529735565186,2026-06-19_021626_sweep_csam4_dm12.0_dv9.0_F100_s123,experiments\2026-06-19_021626_sweep_csam4_dm12.0_dv9.0_F100_s123,csam4_dm12.0_dv9.0_F100_s123,4,123,1.0,"{'regular': 'experiments\\2026-06-19_021626_sweep_csam4_dm12.0_dv9.0_F100_s123\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_021626_sweep_csam4_dm12.0_dv9.0_F100_s123\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_021626_sweep_csam4_dm12.0_dv9.0_F100_s123\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_021626_sweep_csam4_dm12.0_dv9.0_F100_s123\\reports\\run_report.pdf'}"
csam4_dm12.0_dv9.0_F100_s42,feasible,True,4,12.0,9.0,100,42,84635.52893490001,84435.52893490001,200.0,2.0,"m1,m10",2.0,14538.175977063936,0.0,0.0,0.0,0.0,20,161.0149121284485,2026-06-19_021103_sweep_csam4_dm12.0_dv9.0_F100_s42,experiments\2026-06-19_021103_sweep_csam4_dm12.0_dv9.0_F100_s42,csam4_dm12.0_dv9.0_F100_s42,4,42,1.0,"{'regular': 'experiments\\2026-06-19_021103_sweep_csam4_dm12.0_dv9.0_F100_s42\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_021103_sweep_csam4_dm12.0_dv9.0_F100_s42\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_021103_sweep_csam4_dm12.0_dv9.0_F100_s42\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_021103_sweep_csam4_dm12.0_dv9.0_F100_s42\\reports\\run_report.pdf'}"
csam4_dm12.0_dv9.0_F100_s456,feasible,True,4,12.0,9.0,100,456,81096.13055125001,80896.13055125001,200.0,2.0,"m1,m10",2.0,14404.394264851688,0.0,0.0,0.0,0.0,20,161.42675018310547,2026-06-19_021344_sweep_csam4_dm12.0_dv9.0_F100_s456,experiments\2026-06-19_021344_sweep_csam4_dm12.0_dv9.0_F100_s456,csam4_dm12.0_dv9.0_F100_s456,4,456,1.0,"{'regular': 'experiments\\2026-06-19_021344_sweep_csam4_dm12.0_dv9.0_F100_s456\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_021344_sweep_csam4_dm12.0_dv9.0_F100_s456\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_021344_sweep_csam4_dm12.0_dv9.0_F100_s456\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_021344_sweep_csam4_dm12.0_dv9.0_F100_s456\\reports\\run_report.pdf'}"
csam4_dm15.0_dv16.0_F100_s123,feasible,True,4,15.0,16.0,100,123,119549.05984436,119195.6033207999,400.0,4.0,"m1,m2,m3,m10",0.0,17853.545296341905,0.0,0.0,0.0,0.0,20,159.4532241821289,2026-06-19_024833_sweep_csam4_dm15.0_dv16.0_F100_s123,experiments\2026-06-19_024833_sweep_csam4_dm15.0_dv16.0_F100_s123,csam4_dm15.0_dv16.0_F100_s123,4,123,1.0,"{'regular': 'experiments\\2026-06-19_024833_sweep_csam4_dm15.0_dv16.0_F100_s123\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_024833_sweep_csam4_dm15.0_dv16.0_F100_s123\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_024833_sweep_csam4_dm15.0_dv16.0_F100_s123\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_024833_sweep_csam4_dm15.0_dv16.0_F100_s123\\reports\\run_report.pdf'}"
csam4_dm15.0_dv16.0_F100_s42,feasible,True,4,15.0,16.0,100,42,126730.70512034005,126330.7051408,400.0,4.0,"m1,m2,m3,m10",0.0,18184.234636085246,0.0,0.0,0.0,0.0,20,157.63154315948486,2026-06-19_024317_sweep_csam4_dm15.0_dv16.0_F100_s42,experiments\2026-06-19_024317_sweep_csam4_dm15.0_dv16.0_F100_s42,csam4_dm15.0_dv16.0_F100_s42,4,42,1.0,"{'regular': 'experiments\\2026-06-19_024317_sweep_csam4_dm15.0_dv16.0_F100_s42\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_024317_sweep_csam4_dm15.0_dv16.0_F100_s42\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_024317_sweep_csam4_dm15.0_dv16.0_F100_s42\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_024317_sweep_csam4_dm15.0_dv16.0_F100_s42\\reports\\run_report.pdf'}"
csam4_dm15.0_dv16.0_F100_s456,feasible,True,4,15.0,16.0,100,456,122004.33279808005,121604.33291490003,400.0,4.0,"m1,m2,m3,m10",0.0,18005.85901980225,0.0,0.0,0.0,0.0,20,158.17141437530518,2026-06-19_024555_sweep_csam4_dm15.0_dv16.0_F100_s456,experiments\2026-06-19_024555_sweep_csam4_dm15.0_dv16.0_F100_s456,csam4_dm15.0_dv16.0_F100_s456,4,456,1.0,"{'regular': 'experiments\\2026-06-19_024555_sweep_csam4_dm15.0_dv16.0_F100_s456\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_024555_sweep_csam4_dm15.0_dv16.0_F100_s456\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_024555_sweep_csam4_dm15.0_dv16.0_F100_s456\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_024555_sweep_csam4_dm15.0_dv16.0_F100_s456\\reports\\run_report.pdf'}"
csam4_dm15.0_dv4.0_F100_s123,feasible,True,4,15.0,4.0,100,123,121872.80148399992,121472.8016425999,400.0,4.0,"m1,m2,m3,m10",0.0,17926.772648170954,0.0,0.0,0.0,0.0,20,160.60431694984436,2026-06-19_023238_sweep_csam4_dm15.0_dv4.0_F100_s123,experiments\2026-06-19_023238_sweep_csam4_dm15.0_dv4.0_F100_s123,csam4_dm15.0_dv4.0_F100_s123,4,123,1.0,"{'regular': 'experiments\\2026-06-19_023238_sweep_csam4_dm15.0_dv4.0_F100_s123\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_023238_sweep_csam4_dm15.0_dv4.0_F100_s123\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_023238_sweep_csam4_dm15.0_dv4.0_F100_s123\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_023238_sweep_csam4_dm15.0_dv4.0_F100_s123\\reports\\run_report.pdf'}"
csam4_dm15.0_dv4.0_F100_s42,feasible,True,4,15.0,4.0,100,42,125440.35253949996,125040.35275649995,400.0,4.0,"m1,m2,m3,m10",0.0,18092.117318042623,0.0,0.0,0.0,0.0,20,161.98016166687012,2026-06-19_022715_sweep_csam4_dm15.0_dv4.0_F100_s42,experiments\2026-06-19_022715_sweep_csam4_dm15.0_dv4.0_F100_s42,csam4_dm15.0_dv4.0_F100_s42,4,42,1.0,"{'regular': 'experiments\\2026-06-19_022715_sweep_csam4_dm15.0_dv4.0_F100_s42\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_022715_sweep_csam4_dm15.0_dv4.0_F100_s42\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_022715_sweep_csam4_dm15.0_dv4.0_F100_s42\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_022715_sweep_csam4_dm15.0_dv4.0_F100_s42\\reports\\run_report.pdf'}"
csam4_dm15.0_dv4.0_F100_s456,feasible,True,4,15.0,4.0,100,456,123077.16634139993,122677.16648069998,400.0,4.0,"m1,m2,m3,m10",0.0,18002.929509901125,0.0,0.0,0.0,0.0,20,160.64285802841187,2026-06-19_022957_sweep_csam4_dm15.0_dv4.0_F100_s456,experiments\2026-06-19_022957_sweep_csam4_dm15.0_dv4.0_F100_s456,csam4_dm15.0_dv4.0_F100_s456,4,456,1.0,"{'regular': 'experiments\\2026-06-19_022957_sweep_csam4_dm15.0_dv4.0_F100_s456\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_022957_sweep_csam4_dm15.0_dv4.0_F100_s456\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_022957_sweep_csam4_dm15.0_dv4.0_F100_s456\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_022957_sweep_csam4_dm15.0_dv4.0_F100_s456\\reports\\run_report.pdf'}"
