from,to,t,l,k,flow
source,m2_in,2,l1,k4,9.936851
source,m3_in,1,l2,k2,9.8303426
m3_in,m3_q_l1,1,l2,k2,9.8303426
m3_q_l1,ss,1,l2,k2,9.8303426
source,m1_in,1,l2,k4,9.809319
m1_in,m1_q_l2,1,l2,k4,9.809319
m1_q_l2,ss,1,l2,k4,9.809319
source,m10_in,2,l2,k4,9.72913
source,m10_in,1,l1,k5,9.6798757
m10_in,m5_in,1,l1,k5,9.6798757
source,m8_in,1,l1,k5,9.57412
m8_in,m5_in,1,l1,k5,9.57412
source,m7_in,2,l2,k4,9.5063649
source,m8_in,2,l2,k5,9.4032788
source,m1_in,2,l1,k3,9.3857224
source,m9_in,1,l1,k1,9.3821438
m9_in,m9_q_l1,1,l1,k1,9.3821438
m9_q_l1,ss,1,l1,k1,9.3821438
source,m2_in,2,l1,k2,9.3370117
source,m2_in,2,l1,k3,9.3086276
source,m7_in,2,l2,k2,9.2834727
source,m2_in,2,l2,k2,9.2635131
source,m2_in,2,l1,k5,9.2583029
source,m9_in,2,l2,k5,9.2430686
source,m1_in,1,l2,k1,9.2310646
m1_in,m1_q_l1,1,l2,k1,9.2310646
m1_q_l1,ss,1,l2,k1,9.2310646
source,m3_in,2,l2,k2,9.1702221
source,m3_in,1,l1,k4,9.1482621
m3_in,m4_in,1,l1,k4,9.1482621
source,m9_in,2,l2,k4,8.9937871
source,m5_in,2,l2,k3,8.9887629
source,m5_in,1,l2,k5,8.9818568
m5_in,m5_q_l1,1,l2,k5,8.9818568
m5_q_l1,ss,1,l2,k5,8.9818568
source,m1_in,2,l1,k5,8.9804426
source,m7_in,1,l2,k5,8.9437005
m7_in,m7_q_l1,1,l2,k5,8.9437005
m7_q_l1,ss,1,l2,k5,8.9437005
source,m1_in,1,l2,k5,8.9211752
m1_in,m1_q_l1,1,l2,k5,8.9211752
m1_q_l1,ss,1,l2,k5,8.9211752
source,m5_in,1,l1,k4,8.8895057
m5_in,m4_in,1,l1,k4,8.8895057
source,m6_in,1,l2,k5,8.8483781
m6_in,m6_q_l1,1,l2,k5,8.8483781
m6_q_l1,ss,1,l2,k5,8.8483781
source,m10_in,2,l1,k3,8.7898585
source,m2_in,1,l2,k2,8.6178866
m2_in,m2_q_l1,1,l2,k2,8.6178866
m2_q_l1,ss,1,l2,k2,8.6178866
source,m5_in,1,l2,k2,8.5739757
m5_in,m5_q_l2,1,l2,k2,8.5739757
m5_q_l2,ss,1,l2,k2,8.5739757
source,m5_in,2,l1,k3,8.5591487
source,m6_in,2,l1,k2,8.5426468
source,m5_in,2,l2,k5,8.4345601
source,m1_in,2,l1,k1,8.4317802
source,m3_in,2,l1,k5,8.4276383
source,m6_in,2,l1,k5,8.3867085
source,m9_in,1,l2,k2,8.3706638
m9_in,m9_q_l1,1,l2,k2,8.3706638
m9_q_l1,ss,1,l2,k2,8.3706638
source,m2_in,1,l2,k1,8.2295891
m2_in,m2_q_l1,1,l2,k1,8.2295891
m2_q_l1,ss,1,l2,k1,8.2295891
source,m6_in,1,l1,k5,8.2198061
m6_in,m5_in,1,l1,k5,8.2198061
source,m5_in,1,l1,k1,8.1876643
m5_in,m1_in,1,l1,k1,8.1876643
source,m3_in,1,l1,k3,8.1728548
source,m6_in,2,l1,k1,8.167879
source,m2_in,2,l2,k1,8.1226122
source,m8_in,2,l1,k4,8.0646975
source,m5_in,1,l2,k4,8.0476807
m5_in,m5_q_l2,1,l2,k4,8.0476807
m5_q_l2,ss,1,l2,k4,8.0476807
source,m3_in,2,l2,k1,8.0412079
source,m8_in,1,l1,k2,7.9686078
m8_in,m2_in,1,l1,k2,7.9686078
source,m2_in,1,l2,k4,7.9371405
m2_in,m2_q_l1,1,l2,k4,7.9371405
m2_q_l1,ss,1,l2,k4,7.9371405
source,m7_in,1,l1,k3,7.9248941
m7_in,m3_in,1,l1,k3,7.9248941
source,m8_in,2,l1,k3,7.8653662
source,m1_in,1,l1,k2,7.8613933
m1_in,m2_in,1,l1,k2,7.8613933
source,m7_in,1,l2,k2,7.5754206
m7_in,m7_q_l1,1,l2,k2,7.5754206
m7_q_l1,ss,1,l2,k2,7.5754206
source,m3_in,1,l2,k1,7.5045537
m3_in,m3_q_l2,1,l2,k1,7.5045537
m3_q_l2,ss,1,l2,k1,7.5045537
source,m4_in,1,l2,k3,7.4366637
m4_in,m4_q_l1,1,l2,k3,7.4366637
m4_q_l1,ss,1,l2,k3,7.4366637
source,m5_in,2,l2,k4,7.408559
source,m2_in,1,l2,k3,7.2826323
m2_in,m2_q_l2,1,l2,k3,7.2826323
m2_q_l2,ss,1,l2,k3,7.2826323
source,m1_in,1,l1,k3,7.2685145
m1_in,m3_in,1,l1,k3,7.2685145
source,m7_in,1,l1,k2,7.0763586
m7_in,m2_in,1,l1,k2,7.0763586
source,m10_in,2,l1,k1,7.0609573
source,m7_in,2,l2,k3,7.0454286
source,m10_in,1,l1,k3,7.013995
m10_in,m9_in,1,l1,k3,7.013995
source,m4_in,1,l2,k4,6.9422296
m4_in,m4_q_l1,1,l2,k4,6.9422296
m4_q_l1,ss,1,l2,k4,6.9422296
source,m1_in,2,l2,k2,6.8249173
source,m1_in,2,l2,k3,6.7545176
source,m6_in,2,l1,k3,6.7108183
source,m8_in,2,l1,k1,6.6593788
source,m7_in,2,l1,k2,6.6106901
source,m4_in,2,l2,k3,6.5895964
source,m4_in,2,l2,k4,6.5307052
source,m5_in,2,l2,k2,6.5112745
source,m9_in,2,l2,k3,6.3841557
source,m6_in,1,l1,k4,6.3089495
m6_in,m4_in,1,l1,k4,6.3089495
source,m9_in,2,l2,k1,6.286312
source,m10_in,1,l1,k2,6.2224355
m10_in,m2_in,1,l1,k2,6.2224355
source,m10_in,2,l2,k5,6.2175436
source,m3_in,2,l1,k1,6.2062867
source,m3_in,1,l1,k2,6.156184
m3_in,m2_in,1,l1,k2,6.156184
source,m8_in,2,l2,k1,6.1139217
source,m6_in,1,l1,k3,6.0590849
m6_in,m3_in,1,l1,k3,6.0590849
source,m4_in,2,l1,k1,5.9571252
source,m8_in,1,l1,k1,5.9332671
m8_in,m1_in,1,l1,k1,5.9332671
source,m2_in,2,l1,k1,5.9210494
source,m9_in,1,l1,k4,5.8490416
m9_in,m9_q_l1,1,l1,k4,5.8490416
m9_q_l1,ss,1,l1,k4,5.8490416
source,m4_in,1,l2,k1,5.8319499
m4_in,m4_q_l1,1,l2,k1,5.8319499
m4_q_l1,ss,1,l2,k1,5.8319499
source,m9_in,2,l2,k2,5.8178009
source,m7_in,2,l2,k1,5.7936579
source,m9_in,2,l1,k2,5.7914896
source,m1_in,2,l1,k4,5.596779
