from,to,t,l,k,flow
source,m8_in,1,l2,k1,12.109987
m8_in,m8_q_l2,1,l2,k1,12.109987
m8_q_l2,ss,1,l2,k1,12.109987
source,m8_in,1,l2,k4,12.101617
m8_in,m8_q_l2,1,l2,k4,12.101617
m8_q_l2,ss,1,l2,k4,12.101617
source,m9_in,4,l1,k1,12.096232
source,m4_in,3,l2,k4,12.086974
m4_in,m10_in,3,l2,k4,12.086974
source,m3_in,2,l1,k1,12.049588
m3_in,m1_in,2,l1,k1,12.049588
source,m6_in,1,l2,k3,11.998341
m6_in,m6_q_l2,1,l2,k3,11.998341
m6_q_l2,ss,1,l2,k3,11.998341
source,m1_in,1,l1,k1,11.964692
source,m4_in,4,l2,k4,11.963113
source,m2_in,4,l2,k5,11.955295
source,m10_in,1,l2,k5,11.939847
m10_in,m10_q_l2,1,l2,k5,11.939847
m10_q_l2,ss,1,l2,k5,11.939847
source,m3_in,1,l1,k2,11.919703
m3_in,m2_in,1,l1,k2,11.919703
source,m3_in,2,l2,k1,11.917018
m3_in,m3_q_l2,2,l2,k1,11.917018
m3_q_l2,ss,2,l2,k1,11.917018
source,m10_in,3,l1,k5,11.883743
m10_in,m5_in,3,l1,k5,11.883743
source,m1_in,1,l2,k3,11.848297
m1_in,m1_q_l2,1,l2,k3,11.848297
m1_q_l2,ss,1,l2,k3,11.848297
source,m2_in,2,l2,k3,11.813008
m2_in,m2_q_l2,2,l2,k3,11.813008
m2_q_l2,ss,2,l2,k3,11.813008
source,m9_in,2,l1,k1,11.80903
source,m10_in,1,l1,k3,11.769059
m10_in,m3_in,1,l1,k3,11.769059
source,m10_in,3,l2,k4,11.750351
source,m2_in,3,l1,k4,11.746891
m2_in,m4_in,3,l1,k4,11.746891
source,m2_in,3,l1,k1,11.693138
m2_in,m1_in,3,l1,k1,11.693138
source,m5_in,4,l1,k4,11.683839
source,m3_in,3,l1,k2,11.666246
m3_in,m2_in,3,l1,k2,11.666246
source,m4_in,4,l1,k5,11.652615
source,m4_in,4,l2,k2,11.648724
source,m3_in,3,l2,k1,11.615643
source,m6_in,1,l2,k4,11.611679
m6_in,m6_q_l2,1,l2,k4,11.611679
m6_q_l2,ss,1,l2,k4,11.611679
source,m8_in,4,l1,k2,11.609518
m9_in,m9_q_l1,3,l1,k2,11.604729
m9_q_l1,ss,3,l1,k2,11.604729
source,m10_in,3,l1,k3,11.578151
m10_in,m3_in,3,l1,k3,11.578151
source,m6_in,1,l1,k3,11.533649
m6_in,m3_in,1,l1,k3,11.533649
source,m7_in,2,l2,k2,11.507504
m7_in,m7_q_l2,2,l2,k2,11.507504
m7_q_l2,ss,2,l2,k2,11.507504
source,m5_in,4,l2,k1,11.359004
source,m9_in,3,l1,k4,11.346381
source,m7_in,3,l2,k5,11.344423
m7_in,m7_q_l2,3,l2,k5,11.344423
m7_q_l2,ss,3,l2,k5,11.344423
source,m1_in,3,l1,k1,11.34401
source,m7_in,4,l2,k4,11.320505
source,m1_in,3,l2,k5,11.309761
